50	59	69	54	60	49	60	62	48	61	58	68	60	65	45	57	61	63	63	65	64	61	72	64	52	52	53	61	68	70	56	69	47	68	65	69	72	44	69	69	50	64	64	60	63	63	57	60	60	51	51	71	46	65	62	63	59	63	43	59	49	71	63	47	69	60	52	56	65	59	53	68	49	68	67	59	49	70	67	59	58	61	58	66	63	66	51	68	63	70	63	62	56	66
67	62	66	40	56	70	49	57	61	52	58	72	59	45	56	58	63	68	60	68	49	73	65	65	62	63	57	57	67	72	68	49	68	52	39	68	55	70	72	63	60	49	52	59	65	53	60	60	68	61	49	60	47	58	71	57	57	59	65	50	44	58	58	66	61	66	73	67	65	66	56	54	62	53	67	63	57	67	68	59	61	69	55	64	69	61	64	55	56	56	58	60	62	63
59	72	50	67	68	52	58	40	63	53	62	54	61	66	48	54	69	54	62	59	69	67	48	67	62	71	62	43	58	45	70	62	64	68	49	60	59	66	62	62	62	48	60	62	62	71	61	49	73	68	59	58	69	63	71	60	53	59	58	66	53	50	61	60	52	65	62	52	48	50	72	68	68	57	73	66	63	60	68	62	50	50	63	51	54	62	61	67	53	53	51	53	66	59
61	58	61	68	63	63	49	59	62	64	71	73	69	66	65	61	72	65	65	60	64	62	66	67	65	67	68	71	53	70	65	55	52	60	55	64	55	60	58	58	50	65	57	67	61	61	57	60	60	65	69	53	56	51	59	56	58	66	55	65	59	59	59	57	54	60	48	66	45	48	66	66	53	60	67	57	60	64	46	53	62	57	60	59	56	65	49	48	53	55	54	62	64	68
64	54	46	65	67	58	60	60	69	67	71	49	61	54	57	70	54	65	71	55	60	70	67	61	49	55	67	57	63	65	64	57	70	51	52	53	55	60	53	47	58	62	50	67	60	60	59	63	57	42	66	54	46	59	68	64	58	55	53	57	67	64	54	68	62	68	60	58	51	70	46	64	65	59	71	61	46	69	52	58	62	58	59	62	45	67	67	72	62	66	41	66	55	55
48	51	58	52	62	59	59	73	54	49	67	66	70	49	60	66	50	61	61	69	54	48	56	61	50	60	64	54	60	67	68	50	67	65	66	55	60	56	65	63	61	54	71	57	54	73	56	62	55	61	61	59	60	66	49	61	59	69	53	60	53	61	45	68	49	68	64	47	59	64	62	60	54	61	58	47	54	65	58	58	62	51	52	55	54	61	59	72	65	55	52	60	66	69
54	65	45	57	65	64	62	54	69	66	62	43	52	59	70	63	63	72	72	64	61	51	67	51	58	68	60	57	50	39	52	61	54	59	70	55	54	65	63	66	66	73	56	68	58	47	55	68	62	58	53	67	68	66	57	66	70	57	64	66	52	68	58	52	45	58	60	59	50	65	57	62	67	56	55	61	71	63	56	54	51	67	68	67	68	64	57	56	59	51	58	65	56	62
64	69	51	63	68	60	65	67	68	70	55	47	60	67	66	55	63	59	56	63	61	60	53	53	51	55	45	59	73	62	71	57	56	60	48	70	59	69	58	67	61	43	61	65	64	72	59	69	66	70	71	65	65	64	52	65	45	52	59	63	65	55	50	55	60	54	62	54	70	70	50	66	59	70	66	70	67	62	66	57	54	71	60	67	73	70	66	68	56	70	72	57	65	59
54	63	53	59	60	62	56	58	71	64	70	62	70	54	54	55	67	60	70	68	61	67	73	68	72	56	70	63	52	57	58	53	69	62	53	63	43	62	67	66	56	49	68	68	70	49	56	58	47	71	67	67	60	56	58	67	65	59	62	64	46	59	71	55	64	56	50	61	56	54	49	64	66	56	42	66	68	63	60	63	67	64	60	52	61	64	70	48	63	60	53	56	53	60
60	50	52	56	51	66	49	61	54	51	54	69	66	61	55	63	62	64	47	65	53	67	69	68	52	61	64	58	56	65	51	52	68	48	52	64	58	56	69	59	61	62	55	58	52	72	56	63	63	62	67	63	49	61	65	57	56	65	67	64	60	55	55	70	60	56	63	56	55	61	62	49	59	55	63	62	66	68	59	47	51	62	50	55	55	65	55	73	64	66	68	69	48	69
